Id,Content,Sentiment
49640624,"The end.",Negative
43505275,"GOD OVER EVERYTHING.",Negative
43505275,"I'm sorry.",Negative
43505275,"God... please forgive me.",Negative
43505275,"This day couldn't get any worse...",Negative
43505275,"I'm about to delete my twitter in a second",Negative
919427738607353858,"RT @BlvckGrip: depression: i want to die",Negative
919427765379653633,"RT @Pouyalilpou: I want to fucking die sometimes",Negative
919427762678411264,"@EliseLaurenne When I die, I want this face to be the last thing I see.",Negative
919427748539625472,"RT @memetribute: when people ask why your twitter is full of tweets of you just saying 'i want to die' repeatedly https://t.co/qQkNCxQ7Qx",Negative
919427428807618560,"@CETS_ I've been struggling through depression for about a year now and my mom died to stage four brain cancer and it's been hard.",Negative
428254448909946881,"My family would probably be better off without me.",Negative
428375273596145664,"My family would be better off without me",Negative
428565511769976832,"Im starting to think that my family would be better off, ultimately, without me. #fuckup #moreharmthangood",Negative
428662232193302528,"https://t.co/GyaVLAGjGS THIS jaggoff performs exorcisms over Skype. The power of Christ compels you! @joerogan @duncantrussell @DBolelli",Negative
428952566127677441,"If I ever have to write a lesson plan in a group again I'm gonna kill myself",Negative
429374534803005440,"@S_LYNGSTAD wow! What a jaggoff. Drink some more budlight and get a grip! Leave parents out before I talk about YO MAMA!",Negative
429437270496534528,"@Jb_reaper @TmarTn ALSO, judging from his jumping and prone techniques, looks like if the IED is at a certain height, jump or prone, you die",Negative
429445257143394304,"My family would be better off without me..",Negative
429514655975743489,"RT @RonnieRadke: Indirect tweets are cowardly. this tweet is direct to all the indirect. Indirectly. Courageously :)",Negative
429520398200229888,"RT @RonnieRadke: Indirect tweets are cowardly. this tweet is direct to all the indirect. Indirectly. Courageously :)",Negative
429545819071463424,"RT @gokaxmomurda408: Sometimes ifeel like my family would be better off without me.",Negative
430080301684252674,"@maliksidiot: Indirect to 95% of my school who think depression and suicide is a joke http://t.co/7v50zgfrOu",Negative
430067093275299841,"indirect suicide?",Negative
430123171459497984,"I have a specific plan to kill myself.",Negative
430085382059745280,"Seems as if my family would be better off(and much happier) without me :",Negative
430087170922004480,"RT @AndreiTheWizard: Seems as if my family would be better off(and much happier) without me :",Negative
430227470462111744,"My family would be better off without me anyway",Negative
430256886450249728,"RT @catpennies: #patriarchyis a fear of fatness, an idealization of whiteness, a quashing of sexuality, and a colonization of agency.",Negative
430259374742073344,"RT @catpennies: #patriarchyis a fear of fatness, an idealization of whiteness, a quashing of sexuality, and a colonization of agency.",Negative
430686546573152256,"No. I do not plan to kill myself. I have a planet to secularize. No time to die: Daniel Vragsinn",Positive
430567733625761792,"Shamefaced",Negative
430771709978107905,"Right after I interview a woman working to end sexual harassment on Metro and transit systems, I get harassed on Metro. Sounds about right.",Negative
430785845461659648,"Video: Witnesses from Home Depot: Nagin sent threatening, intimidating emails http://t.co/iZY0DeItB4",Negative
430796249659625472,"threatening emails from Yelp are the best.",Negative
430808874216849408,"According to @MikeMiss975, Internet troll has been harassing and threatening me and my family for the last 4 years http://t.co/jdmazSlwjv",Negative
430816700343123968,"Believed to be same guy who sent threatening emails to Roger Williams law school earlier today.",Negative
430859993978380288,"everyone around me, my friends, my family, would be so much better off without me",Negative
430888769357484032,"@GoOnAshlee So have I so I have a plan to turn 18 and kill myself...",Negative
430911063152816128,"@annambostick: My family would probably be better off without me ?? don't say that ????!",Negative
430912210768896001,"Reproachful b*tch",Negative
431054715732766721,"You'll be sorry when I'm gone.",Negative
431050459906723840,"My friends go first... Point blank. My family would be better off without me, so yeah. Friends come first",Negative
431038206335660032,"Heavy hearted. Very heavy hearted.",Negative
431028640789188608,"i'm too depressed to go on, you'll be sorry when i'm gone.",Negative
430979435697676289,"You'll be sorry when i'm gone..",Negative
431055577901309953,"you'll be sorry when I'm gone",Negative
431056054139764736,"What is something you have always wanted to try?  Hm..cutting wrist? Not eating till I get super thin? Jk!!! Ha... http://t.co/0sPVUGmr9O",Negative
431057714907582464,"Had one of those fretful nights. Hoping today goes well. Sword of Damocles is hanging above me for some reason.",Negative
431057973021257728,"RT @JillianChantal: Had one of those fretful nights. Hoping today goes well. Sword of Damocles is hanging above me for some reason.",Negative
431058599448571904,"Heavy hearted.",Negative
431059553250074624,"RT @sydneynikol: Shoutout to @JesseBenton for almost cutting my wrist off and @JoshDudley_8 for almost catching my whole arm on fire ?? ",Negative
431062802975825920,"Hey guys, I'm back home. Today is kind of cheerless. I just want to go to bed and sleep. D:",Negative
431062944714354688,"You'll be sorry when I'm gone.",Negative
431063891204788225,"Ehret tripping now they be cutting they wrist and shit hanging they self they on that dope here",Negative
431064177151459329,"@doctaj I've given up today  and am just composing this kind of text: http://t.co/LmPddeRGb5",Negative
431065515692285953,"So heavy hearted today..#ripmom #ripryan ??????",Negative
431076203592552448,"Do you often get the feeling that perhaps life isn't worth living?",Negative
431078038328344578,"Feel like just ending it all, my life isn't worth living without you in it.",Negative
431082202487463937,"noreen, suicidal lang? cutting your wrist.. hahaha x)",Negative
431082645565349888,"i bet i wud be cutting my wrist now if i were a girl but hey , turn to Allahswt , its just a test from Him haidar ..",Negative
431089507127934976,"RT @McKennaLamos: This weather makes me wish I were dead.",Negative
431089956140773377,"I'm too depressed to go on you'll be sorry when I'm gone",Negative
431094144866734080,"I'm too depressed to go on, you'll be sorry when I'm gone. ??",Negative
431094359014912000,"???????suicide attack????????????????????????????????????????????????????????????",Negative
431095452763570176,"RT @tambund_: you'll be sorry when i'm gone RT @yofanavirgianne @ollenschaa: You're gonna miss me when I'm gone",Negative
431106246952112128,"Heavy Hearted.",Negative
431106421665837056,"Life really isn't worth living. ??",Negative
431109281635926016,"You'll be sorry when I'm gone.",Negative
431112305318051841,"I'm too depressed, to go on, you'll be sorry when I'm gone",Negative
431116278799925248,"I wish you were dead.",Negative
